fare_id,price,currency_type,payment_method,transfers,transfer_duration
HR-5b896b26-7544-11e2-abb7-1231392484b4,13.00,USD,1,0,0
HR-5b8978d2-7544-11e2-abb7-1231392484b4,7.50,USD,1,0,0
HR-5b8985de-7544-11e2-abb7-1231392484b4,11.75,USD,1,0,0
HR-5b8992ea-7544-11e2-abb7-1231392484b4,119.00,USD,1,0,0
HR-5b899fec-7544-11e2-abb7-1231392484b4,358.50,USD,1,0,0
HR-5b89acee-7544-11e2-abb7-1231392484b4,396.50,USD,1,0,0
HR-5b89b9e6-7544-11e2-abb7-1231392484b4,1.25,USD,1,0,0
HR-5b89c6e8-7544-11e2-abb7-1231392484b4,13.00,USD,1,0,0
HR-5b89d3e0-7544-11e2-abb7-1231392484b4,7.50,USD,1,0,0
HR-5b8a2b6a-7544-11e2-abb7-1231392484b4,11.75,USD,1,0,0
HR-5b8a392a-7544-11e2-abb7-1231392484b4,119.00,USD,1,0,0
HR-5b8a4cf8-7544-11e2-abb7-1231392484b4,358.50,USD,1,0,0
HR-5b8a6350-7544-11e2-abb7-1231392484b4,396.50,USD,1,0,0
HR-5b8a711a-7544-11e2-abb7-1231392484b4,1.25,USD,1,0,0
HR-5b8c26b8-7544-11e2-abb7-1231392484b4,1.75,USD,1,0,0
HR-5b966628-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-5b967906-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-5b968662-7544-11e2-abb7-1231392484b4,17.50,USD,1,0,0
HR-5b969364-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-5b96a066-7544-11e2-abb7-1231392484b4,4.25,USD,1,0,0
HR-5b96af98-7544-11e2-abb7-1231392484b4,2.00,USD,1,0,0
HR-5b96c028-7544-11e2-abb7-1231392484b4,2.00,USD,1,0,0
HR-5b96ce2e-7544-11e2-abb7-1231392484b4,36.75,USD,1,0,0
HR-5b96dba8-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-63a8087c-c4b1-11e3-9e61-190df29b2f1b,5.00,USD,1,0,0
