trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
MIDTOWN-PAULUS-WEEKDAY-02,7:00:00,7:00:00,MIDTOWN,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-04,7:00:00,7:00:00,IMPERIAL,1,,0,,
PIER11-LIBERTY-WEEKDAY-04,7:00:00,7:00:00,PIER11,1,,0,,
PIER11-PAULUS-WEEKDAY-04,7:00:00,7:00:00,PIER11,1,,0,,
WFC-HOBOKENNJTT-WEEKDAY-05,7:00:00,7:00:00,BPT,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-05,7:00:00,7:00:00,BPT,2,,0,,
WFC-HOBOKENNJTT-WEEKDAY-04,7:00:00,7:00:00,HOBOKENNJTTSTATION,2,,0,,
PAULUS-PIER11-WEEKDAY-04,7:01:00,7:01:00,PIER11,2,,0,,
WFC-IMPERIAL-WEEKDAY-02,7:01:00,7:01:00,IMPERIAL,2,,0,,
HAVERSTRAW-OSSINING-WEEKDAY-03,07:05:00,07:05:00,OSSINING,2,,0,,
EDGEWATER-MIDTOWN-WEEKDAY-02,07:00:00,07:00:00,MIDTOWN,2,,0,,
OSSINING-HAVERSTRAW-WEEKDAY-03,07:05:00,07:05:00,OSSINING,1,,0,,
MIDTOWN-EDGEWATER-WEEKDAY-02,07:00:00,07:00:00,MIDTOWN,1,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-04,7:06:00,7:06:00,PIER11,1,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-04,7:06:00,7:06:00,PIER11,2,,0,,
MIDTOWN-LINCOLN-WEEKDAY-01,7:07:00,7:07:00,MIDTOWN,1,,0,,
PAULUS-PIER11-WEEKDAY-05,7:07:00,7:07:00,PAULUS,1,,0,,
HOBOKEN14-WFC-WEEKDAY-03,7:08:00,7:08:00,HOBOKEN14STATION,1,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-04,7:08:00,7:08:00,MIDTOWN,2,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-04,7:08:00,7:08:00,MIDTOWN,2,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-05,7:10:00,7:10:00,IMPERIAL,1,,0,,
PIER11-PAULUS-WEEKDAY-04,7:09:00,7:09:00,PAULUS,2,,0,,
HOBOKENNJTT-WFC-WEEKDAY-07,7:10:00,7:10:00,HOBOKENNJTTSTATION,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-05,7:18:00,7:18:00,MIDTOWN,2,,0,,
MIDTOWN-HOBOKEN14-WEEKDAY-04,7:10:00,7:10:00,MIDTOWN,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-06,7:20:00,7:20:00,IMPERIAL,1,,0,,
PIER11-BELFORD-WEEKDAY-02,07:00:00,07:00:00,PIER11,1,,0,,
WFC-HOBOKENNJTT-WEEKDAY-06,7:10:00,7:10:00,BPT,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-06,7:10:00,7:10:00,BPT,2,,0,,
LIBERTY-PIER11-WEEKDAY-05,7:10:00,7:10:00,PIER11,2,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-03,7:10:00,7:10:00,HOBOKENNJTTSTATION,2,,0,,
PIER11-LIBERTY-WEEKDAY-04,7:10:00,7:10:00,LIBERTYHARBOR,2,,0,,
WFC-HOBOKENNJTT-WEEKDAY-05,7:10:00,7:10:00,HOBOKENNJTTSTATION,2,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-06,7:11:00,7:11:00,HOBOKENNJTTSTATION,1,,0,,
NEWBURGH-BEACON-WEEKDAY-04,07:05:00,07:05:00,NEWBURGH,1,,0,,
MIDTOWN-LINCOLN-WEEKDAY-01,7:13:00,7:13:00,LINCOLN,2,,0,,
MIDTOWN-PAULUS-WEEKDAY-02,7:13:00,7:13:00,PAULUS,2,,0,,
PIER11-BELFORD-WEEKDAY-01,7:13:00,7:13:00,BELFORD,2,,0,,
LIBERTY-PIER11-WEEKDAY-06,7:15:00,7:15:00,LIBERTYHARBOR,1,,0,,
LINCOLN-MIDTOWN-WEEKDAY-01,7:15:00,7:15:00,LINCOLN,1,,0,,
PAULUS-MIDTOWN-WEEKDAY-02,7:15:00,7:15:00,PAULUS,1,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-05,7:15:00,7:15:00,PIER11,1,,0,,
PIER11-LIBERTY-WEEKDAY-05,7:15:00,7:15:00,PIER11,1,,0,,
PIER11-PAULUS-WEEKDAY-05,7:15:00,7:15:00,PIER11,1,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-05,7:15:00,7:15:00,PIER11,2,,0,,
IMPERIAL-WFC-WEEKDAY-03,7:15:00,7:15:00,BPT,2,,0,,
OSSINING-HAVERSTRAW-WEEKDAY-03,07:20:00,07:20:00,HAVERSTRAW,2,,0,,
WFC-HOBOKEN14-WEEKDAY-03,7:16:00,7:16:00,BPT,1,,0,,
WFC-IMPERIAL-WEEKDAY-03,7:16:00,7:16:00,BPT,1,,0,,
HOBOKEN14-WFC-WEEKDAY-03,7:16:00,7:16:00,BPT,2,,0,,
PAULUS-PIER11-WEEKDAY-05,7:16:00,7:16:00,PIER11,2,,0,,
PIER11-IMPERIAL-WEEKDAY-03,7:16:00,7:16:00,IMPERIAL,2,,0,,
PIER11-IMPERIAL-WEEKDAY-04,7:18:00,7:18:00,PIER11,1,,0,,
BELFORD-PIER11-WEEKDAY-02,7:18:00,7:18:00,PIER11,2,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-06,7:28:00,7:28:00,MIDTOWN,2,,0,,
IMPERIAL-PIER11-WEEKDAY-04,7:18:00,7:18:00,PIER11,2,,0,,
MIDTOWN-EDGEWATER-WEEKDAY-02,07:15:00,07:15:00,EDGEWATER,2,,0,,
MIDTOWN-HOBOKEN14-WEEKDAY-04,7:18:00,7:18:00,HOBOKEN14STATION,2,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-07,7:30:00,7:30:00,IMPERIAL,1,,0,,
BEACON-NEWBURGH-WEEKDAY-04,07:14:00,07:14:00,BEACON,1,,0,,
EDGEWATER-MIDTOWN-WEEKDAY-03,07:15:00,07:15:00,EDGEWATER,1,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-05,07:20:00,07:20:00,HOBOKEN14STATION,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-08,7:20:00,7:20:00,HOBOKENNJTTSTATION,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-07,7:38:00,7:38:00,MIDTOWN,2,,0,,
IMPERIAL-PIER11-WEEKDAY-05,7:20:00,7:20:00,IMPERIAL,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-08,7:40:00,7:40:00,IMPERIAL,1,,0,,
WFC-BELFORD-WEEKDAY-02,07:10:00,07:10:00,BPT,1,,0,,
WFC-HOBOKENNJTT-WEEKDAY-07,7:20:00,7:20:00,BPT,1,,0,,
BELFORD-WFC-WEEKDAY-02,7:20:00,7:20:00,BPT,2,,0,,
HOBOKENNJTT-WFC-WEEKDAY-07,7:20:00,7:20:00,BPT,2,,0,,
NEWBURGH-BEACON-WEEKDAY-04,07:14:00,07:14:00,BEACON,2,,0,,
WFC-HOBOKENNJTT-WEEKDAY-06,7:20:00,7:20:00,HOBOKENNJTTSTATION,2,,0,,
HAVERSTRAW-OSSINING-WEEKDAY-04,07:20:00,07:20:00,HAVERSTRAW,1,,0,,
LINCOLN-MIDTOWN-WEEKDAY-01,7:21:00,7:21:00,MIDTOWN,2,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-04,7:21:00,7:21:00,HOBOKENNJTTSTATION,2,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-07,7:22:00,7:22:00,HOBOKENNJTTSTATION,1,,0,,
MIDTOWN-LINCOLN-WEEKDAY-02,7:22:00,7:22:00,MIDTOWN,1,,0,,
PAULUS-PIER11-WEEKDAY-06,7:22:00,7:22:00,PAULUS,1,,0,,
PIER11-PAULUS-WEEKDAY-05,7:24:00,7:24:00,PAULUS,2,,0,,
WFC-HOBOKEN14-WEEKDAY-03,7:24:00,7:24:00,HOBOKEN14STATION,2,,0,,
LIBERTY-PIER11-WEEKDAY-06,7:25:00,7:25:00,PIER11,2,,0,,
PIER11-LIBERTY-WEEKDAY-05,7:25:00,7:25:00,LIBERTYHARBOR,2,,0,,
WFC-BELFORD-WEEKDAY-01,7:25:00,7:25:00,BELFORD,2,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-06,7:26:00,7:26:00,PIER11,1,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-06,7:26:00,7:26:00,PIER11,2,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-05,7:28:00,7:28:00,MIDTOWN,2,,0,,
