shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SANDYHOOK_to_PIER79_shape,40.716753,-74.022188,11,
SANDYHOOK_to_PIER79_shape,40.71633,-74.022081,12,
SANDYHOOK_to_PIER79_shape,40.716103,-74.021802,13,
SANDYHOOK_to_PIER79_shape,40.716021,-74.021373,14,
SANDYHOOK_to_PIER79_shape,40.715745,-74.018283,15,
SANDYHOOK_to_PIER79_shape,40.715176,-74.017682,16,
SANDYHOOK_to_PIER79_shape,40.714704,-74.018326,17,
SANDYHOOK_to_PIER79_shape,40.714753,-74.019678,18,
SANDYHOOK_to_PIER79_shape,40.71472,-74.020064,19,
SANDYHOOK_to_PIER79_shape,40.714541,-74.020364,20,
SANDYHOOK_to_PIER79_shape,40.714265,-74.020472,21,
SANDYHOOK_to_PIER79_shape,40.696518,-74.024677,22,
SANDYHOOK_to_PIER79_shape,40.695607,-74.025106,23,
SANDYHOOK_to_PIER79_shape,40.691768,-74.02781,24,
SANDYHOOK_to_PIER79_shape,40.690824,-74.028454,25,
SANDYHOOK_to_PIER79_shape,40.689002,-74.029012,26,
SANDYHOOK_to_PIER79_shape,40.686073,-74.029655,27,
SANDYHOOK_to_PIER79_shape,40.667749,-74.03296,28,
SANDYHOOK_to_PIER79_shape,40.657462,-74.034719,29,
SANDYHOOK_to_PIER79_shape,40.656062,-74.035063,30,
SANDYHOOK_to_PIER79_shape,40.654988,-74.035535,31,
SANDYHOOK_to_PIER79_shape,40.636883,-74.044118,32,
SANDYHOOK_to_PIER79_shape,40.636232,-74.04429,33,
SANDYHOOK_to_PIER79_shape,40.626787,-74.045534,34,
SANDYHOOK_to_PIER79_shape,40.625223,-74.045577,35,
SANDYHOOK_to_PIER79_shape,40.602875,-74.042358,36,
